fichier,avant_KB,apres_KB,gain,action
2012\09\Photomontage.jpg,3505,541,85%,compressed
2014\08\Image-de-synthèse.jpg,3450,626,82%,compressed
2014\10\D800059.jpg,2014,255,87%,compressed
2014\10\Lot11_vue1.jpg,780,191,75%,compressed
2014\10\Photo-de-synthèse-1.jpg,3674,386,89%,compressed
2014\10\Photo-de-synthèse-2.jpg,2905,300,90%,compressed
2014\10\Photo-de-synthèse-3.jpg,3045,265,91%,compressed
2014\10\Photo-du-quartier-vue-nord-©-SILL-Pierre-Menoux-768x576.jpg,567,141,75%,compressed
2014\10\sill-cpcl-DIA-01.jpg,771,160,79%,compressed
2014\10\sill-cpcl-DIA-02.jpg,966,208,79%,compressed
2014\10\sill-cpcl-DIA-03.jpg,744,151,80%,compressed
2014\10\sill-cpcl-DIA-04.jpg,1182,291,75%,compressed
2014\10\sill-cpcl-DIA-05.jpg,782,157,80%,compressed
2014\10\sill-cpcl-DIA-06.jpg,586,112,81%,compressed
2014\10\sill-cpcl-DIA-07.jpg,501,82,84%,compressed
2014\10\sill-cpcl-DIA-08.jpg,524,89,83%,compressed
2014\10\sill-cpcl-DIA-09.jpg,841,171,80%,compressed
2014\10\sill-cpcl-DIA-10.jpg,745,145,81%,compressed
2014\10\sill-cpcl-DIA-11.jpg,730,142,81%,compressed
2014\10\sill-cpcl-DIA-12.jpg,720,138,81%,compressed
2014\10\sill-cpcl-DIA-13.jpg,806,157,81%,compressed
2014\10\sill-cpcl-DIA-14.jpg,847,160,81%,compressed
2014\10\sill-cpcl-DIA-15.jpg,677,115,83%,compressed
2014\10\sill-cpcl-DIA-16.jpg,696,126,82%,compressed
2014\10\sill-cpcl-DIA-17.jpg,765,144,81%,compressed
2014\10\sill-cpcl-DIA-18.jpg,778,140,82%,compressed
2014\10\sill-cpcl-DIA-19.jpg,644,105,84%,compressed
2014\10\sill-cpcl-DIA-20.jpg,808,145,82%,compressed
2015\06\L1001578.jpg,582,190,67%,compressed
2015\09\15-05-27-14-12-39-L1001473-1.jpg,884,310,65%,compressed
2016\04\ENC-PERSPECTIVE-CENTRAL-160301.jpeg,3437,541,84%,compressed
2016\05\Photo-du-quartier-vue-nord-©-SILL-Pierre-Menoux.jpg,4250,650,85%,compressed
2016\05\Photo-du-quartier-vue-sud-©-SILL-Pierre-Menoux.jpg,3445,479,86%,compressed
2017\02\Photo-de-la-cérémonie-avec-N.Litzistorf-et-P.-Menoux-©-Ville-de-Lausanne-Yann-Rod.jpg,1859,430,77%,compressed
2017\03\2017-03-16-08-08-_D801194.jpg,635,143,78%,compressed
2017\10\SILL-LFN-LOT11-17_10.jpg,596,151,75%,compressed
2018\05\Capture-d’écran-2018-05-18-à-09.11.43-1024x879.png,1935,248,87%,PNG->JPG
2018\05\Capture-d’écran-2018-05-18-à-09.11.43-1038x576.png,1334,180,87%,PNG->JPG
2018\05\Capture-d’écran-2018-05-18-à-09.11.43-672x372.png,583,82,86%,PNG->JPG
2018\05\Capture-d’écran-2018-05-18-à-09.11.43-768x660.png,1129,149,87%,PNG->JPG
2018\05\Capture-d’écran-2018-05-18-à-09.11.43.png,3305,409,88%,PNG->JPG
2018\12\20171103-IMG_4866-HDR.jpg,4809,401,92%,compressed
